name,build_time
t1_c1_13r3s12o,1.075937
t1_c1_13r3s12o,1.068953
t1_c1_13r3s12o,0.770373
t1_c1_13r3s12o,0.880831
t1_c1_13r3s12o,0.703446
t1_c1_13r3s12o,0.878443
t1_c1_13r3s12o,0.763488
t1_c1_13r3s12o,0.990880
t1_c1_13r3s12o,1.082434
t1_c1_13r3s12o,1.092525
t1_c1_2r128s1o,1.073791
t1_c1_2r128s1o,0.773470
t1_c1_2r128s1o,0.715078
t1_c1_2r128s1o,0.722198
t1_c1_2r128s1o,0.745284
t1_c1_2r128s1o,0.692046
t1_c1_2r128s1o,0.773703
t1_c1_2r128s1o,1.085885
t1_c1_2r128s1o,1.088607
t1_c1_2r128s1o,1.076118
t1_c1_2r16s1o,0.998160
t1_c1_2r16s1o,0.726869
t1_c1_2r16s1o,0.700541
t1_c1_2r16s1o,0.711601
t1_c1_2r16s1o,0.725017
t1_c1_2r16s1o,0.743133
t1_c1_2r16s1o,0.851718
t1_c1_2r16s1o,1.071027
t1_c1_2r16s1o,1.083086
t1_c1_2r16s1o,1.066323
t1_c1_2r256s1o,0.878359
t1_c1_2r256s1o,0.698148
t1_c1_2r256s1o,0.686301
t1_c1_2r256s1o,0.710399
t1_c1_2r256s1o,0.741300
t1_c1_2r256s1o,0.709092
t1_c1_2r256s1o,1.038590
t1_c1_2r256s1o,1.076285
t1_c1_2r256s1o,1.077840
t1_c1_2r256s1o,1.067105
t1_c1_2r2s1o,0.733847
t1_c1_2r2s1o,0.741272
t1_c1_2r2s1o,0.705830
t1_c1_2r2s1o,0.716537
t1_c1_2r2s1o,0.691672
t1_c1_2r2s1o,0.762027
t1_c1_2r2s1o,1.074437
t1_c1_2r2s1o,1.068141
t1_c1_2r2s1o,1.076755
t1_c1_2r2s1o,0.998667
t1_c1_2r32s1o,0.733350
t1_c1_2r32s1o,0.747577
t1_c1_2r32s1o,0.757476
t1_c1_2r32s1o,0.752902
t1_c1_2r32s1o,0.723617
t1_c1_2r32s1o,0.920700
t1_c1_2r32s1o,1.074781
t1_c1_2r32s1o,1.065120
t1_c1_2r32s1o,1.086161
t1_c1_2r32s1o,0.786634
t1_c1_2r4s1o,0.691094
t1_c1_2r4s1o,0.718123
t1_c1_2r4s1o,0.732130
t1_c1_2r4s1o,0.689406
t1_c1_2r4s1o,0.927583
t1_c1_2r4s1o,1.070930
t1_c1_2r4s1o,1.069747
t1_c1_2r4s1o,1.098130
t1_c1_2r4s1o,0.979911
t1_c1_2r4s1o,0.692511
t1_c1_2r64s1o,0.704057
t1_c1_2r64s1o,0.702249
t1_c1_2r64s1o,0.704144
t1_c1_2r64s1o,0.724556
t1_c1_2r64s1o,0.860698
t1_c1_2r64s1o,1.088921
t1_c1_2r64s1o,1.067023
t1_c1_2r64s1o,1.095236
t1_c1_2r64s1o,0.855807
t1_c1_2r64s1o,0.716278
t1_c1_2r8s1o,0.704910
t1_c1_2r8s1o,0.698157
t1_c1_2r8s1o,0.723804
t1_c1_2r8s1o,0.695557
t1_c1_2r8s1o,0.965537
t1_c1_2r8s1o,1.064057
t1_c1_2r8s1o,1.073455
t1_c1_2r8s1o,1.085515
t1_c1_2r8s1o,1.065096
t1_c1_2r8s1o,1.079812
t1_c1_3r127s1o,1.088147
t1_c1_3r127s1o,1.075083
t1_c1_3r127s1o,0.893160
t1_c1_3r127s1o,0.694486
t1_c1_3r127s1o,0.896072
t1_c1_3r127s1o,0.693397
t1_c1_3r127s1o,0.718964
t1_c1_3r127s1o,0.932062
t1_c1_3r127s1o,1.067152
t1_c1_3r127s1o,1.085381
t1_c1_3r16s1o,1.087641
t1_c1_3r16s1o,0.793823
t1_c1_3r16s1o,0.675872
t1_c1_3r16s1o,0.890698
t1_c1_3r16s1o,0.714848
t1_c1_3r16s1o,0.922282
t1_c1_3r16s1o,0.824722
t1_c1_3r16s1o,1.091641
t1_c1_3r16s1o,1.068871
t1_c1_3r16s1o,1.069729
t1_c1_3r16s2o,0.887030
t1_c1_3r16s2o,0.672938
t1_c1_3r16s2o,0.682239
t1_c1_3r16s2o,0.718193
t1_c1_3r16s2o,0.731661
t1_c1_3r16s2o,0.740698
t1_c1_3r16s2o,0.941807
t1_c1_3r16s2o,1.077147
t1_c1_3r16s2o,1.080023
t1_c1_3r16s2o,1.078777
t1_c1_3r2s1o,0.773473
t1_c1_3r2s1o,0.704145
t1_c1_3r2s1o,0.725200
t1_c1_3r2s1o,0.739290
t1_c1_3r2s1o,0.699899
t1_c1_3r2s1o,0.709807
t1_c1_3r2s1o,1.083492
t1_c1_3r2s1o,1.093530
t1_c1_3r2s1o,1.073502
t1_c1_3r2s1o,1.026557
t1_c1_3r2s1orect,0.728652
t1_c1_3r2s1orect,0.679230
t1_c1_3r2s1orect,0.891092
t1_c1_3r2s1orect,0.908082
t1_c1_3r2s1orect,0.915972
t1_c1_3r2s1orect,1.093097
t1_c1_3r2s1orect,1.095499
t1_c1_3r2s1orect,1.078047
t1_c1_3r2s1orect,1.014779
t1_c1_3r2s1orect,0.682586
t1_c1_3r2s2o,0.886655
t1_c1_3r2s2o,0.682462
t1_c1_3r2s2o,0.702771
t1_c1_3r2s2o,0.732798
t1_c1_3r2s2o,0.932520
t1_c1_3r2s2o,1.089318
t1_c1_3r2s2o,1.076392
t1_c1_3r2s2o,1.078784
t1_c1_3r2s2o,0.767292
t1_c1_3r2s2o,0.686917
t1_c1_3r32s1o,0.744954
t1_c1_3r32s1o,0.697019
t1_c1_3r32s1o,0.687020
t1_c1_3r32s1o,0.842312
t1_c1_3r32s1o,1.080839
