name,build_time
t1_c1_13r3s12o,1.237472
t1_c1_13r3s12o,1.011592
t1_c1_13r3s12o,0.976803
t1_c1_2r128s1o,1.023231
t1_c1_2r128s1o,1.146505
t1_c1_2r128s1o,1.506145
t1_c1_2r16s1o,1.522422
t1_c1_2r16s1o,1.188585
t1_c1_2r16s1o,1.013613
t1_c1_2r256s1o,1.015421
t1_c1_2r256s1o,0.980856
t1_c1_2r256s1o,1.209777
t1_c1_2r2s1o,1.537996
t1_c1_2r2s1o,1.511477
t1_c1_2r2s1o,1.126871
t1_c1_2r32s1o,0.984679
t1_c1_2r32s1o,0.972103
t1_c1_2r32s1o,1.020242
t1_c1_2r4s1o,1.228548
t1_c1_2r4s1o,1.537670
t1_c1_2r4s1o,1.509548
t1_c1_2r64s1o,1.092983
t1_c1_2r64s1o,1.013926
t1_c1_2r64s1o,0.976337
t1_c1_2r8s1o,1.021179
t1_c1_2r8s1o,1.277963
t1_c1_2r8s1o,1.509158
t1_c1_3r127s1o,1.543821
t1_c1_3r127s1o,1.072733
t1_c1_3r127s1o,0.972062
t1_c1_3r16s1o,1.010240
t1_c1_3r16s1o,0.979360
t1_c1_3r16s1o,1.317118
t1_c1_3r32s1o,1.519794
t1_c1_3r32s1o,1.522236
t1_c1_3r32s1o,1.007427
t1_c1_3r4s1o,0.980686
t1_c1_3r4s1o,0.980998
t1_c1_3r4s1o,0.985331
t1_c1_3r64s1o,1.328118
t1_c1_3r64s1o,1.523968
t1_c1_3r64s1o,1.508346
t1_c1_3r7s1o,1.001181
t1_c1_3r7s1o,1.007753
t1_c1_3r7s1o,0.980953
t1_c1_3r8s1o,0.996061
t1_c1_3r8s1o,1.372548
t1_c1_3r8s1o,1.508829
t1_c1_4r2s1o,1.509248
t1_c1_4r2s1o,0.978933
t1_c1_4r2s1o,1.014862
t1_c1_4r2s2o,1.022029
t1_c1_4r2s2o,0.981573
t1_c1_4r2s2o,1.415924
t1_c1_4r31s2o,1.506824
t1_c1_4r31s2o,1.471904
t1_c1_4r31s2o,0.973826
t1_c1_4r3s1o,1.011319
t1_c1_4r3s1o,1.022758
t1_c1_4r3s1o,0.962693
t1_c1_4r3s2o,1.462885
t1_c1_4r3s2o,1.536630
t1_c1_4r3s2o,1.428717
