name,build_time
t1_c1_13r3s12o,1.625077
t1_c1_2r128s1o,1.555461
t1_c1_2r16s1o,1.184698
t1_c1_2r256s1o,1.247176
t1_c1_2r2s1o,1.024138
t1_c1_2r32s1o,1.477951
t1_c1_2r4s1o,1.607251
t1_c1_2r64s1o,1.607033
t1_c1_2r8s1o,1.609139
t1_c1_3r127s1o,1.598764
t1_c1_3r16s1o,1.444051
t1_c1_3r16s2o,0.661943
t1_c1_3r2s1o,0.860743
t1_c1_3r2s1orect,0.665116
t1_c1_3r2s2o,0.775686
t1_c1_3r32s1o,1.384736
t1_c1_3r32s2o,1.041182
t1_c1_3r4s1o,1.628751
t1_c1_3r4s2o,0.983410
t1_c1_3r64s1o,1.198953
t1_c1_3r7s1o,1.079608
t1_c1_3r8s1o,1.078968
t1_c1_3r8s2o,0.805073
t1_c1_4r16s1o,1.044354
t1_c1_4r16s2o,1.032235
t1_c1_4r16s3o,1.054846
t1_c1_4r2s1o,0.989094
t1_c1_4r2s2o,1.202798
t1_c1_4r2s2omixed,0.693083
t1_c1_4r2s3o,0.775200
t1_c1_4r31s2o,1.089304
t1_c1_4r3s1o,1.542741
t1_c1_4r3s2o,1.623183
t1_c1_4r4s1o,1.032033
t1_c1_4r4s2o,1.240935
t1_c1_4r4s3o,0.690663
t1_c1_4r7s1o,1.213511
t1_c1_4r7s2o,1.092575
t1_c1_4r8s1o,1.568128
t1_c1_4r8s1operm,1.030856
t1_c1_4r8s1operm2,1.041934
t1_c1_4r8s2o,1.257682
t1_c1_4r8s3o,0.696617
t1_c1_5r15s2o,1.205028
t1_c1_5r16s1o,0.675487
t1_c1_5r16s2o,1.190483
t1_c1_5r2s1o,1.025059
t1_c1_5r2s2o,1.621216
t1_c1_5r2s3o,1.056403
t1_c1_5r2s4o,0.734724
t1_c1_5r3s1o,0.707119
t1_c1_5r3s2o,0.787520
t1_c1_5r3s3o,0.760574
t1_c1_5r3s4o,0.878209
t1_c1_5r4s1o,0.815482
t1_c1_5r4s1ostride,1.021685
t1_c1_5r4s2o,1.585912
t1_c1_5r4s2operm,1.038544
t1_c1_5r4s3o,0.773636
t1_c1_5r4s4o,0.686946
t1_c1_5r7s2o,1.184396
t1_c1_5r8s1o,0.707996
t1_c1_5r8s2o,1.351632
t1_c1_5r8s3o,1.044233
t1_c1_5r8s4o,1.033793
t1_c1_6r15s3o,1.603333
t1_c1_6r16s5o,1.590260
t1_c1_6r2s1o,1.028959
t1_c1_6r2s2o,1.038667
t1_c1_6r2s3o,0.858603
t1_c1_6r2s5o,1.096813
t1_c1_6r3s1o,0.764927
t1_c1_6r3s2o,0.687049
t1_c1_6r3s3o,0.762795
t1_c1_6r4s1o,0.779828
t1_c1_6r4s2o,1.023228
t1_c1_6r4s2ostride,1.024290
t1_c1_6r4s3o,1.027028
t1_c1_6r4s5o,1.355410
t1_c1_6r5s1o,0.708318
