name,build_time
t1_c1_13r3s12o,2.032168
t1_c1_2r128s1o,1.514958
t1_c1_2r16s1o,1.275948
t1_c1_2r256s1o,1.515110
t1_c1_2r2s1o,1.691536
t1_c1_2r32s1o,2.034361
t1_c1_2r4s1o,1.625367
t1_c1_2r64s1o,1.272068
t1_c1_2r8s1o,1.243323
t1_c1_3r127s1o,1.474393
t1_c1_3r16s1o,2.024817
t1_c1_3r16s2o,1.562496
t1_c1_3r2s1o,0.992275
t1_c1_3r2s1orect,0.991185
t1_c1_3r2s2o,0.989080
t1_c1_3r32s1o,1.323398
t1_c1_3r32s2o,1.553865
t1_c1_3r4s1o,2.041663
t1_c1_3r4s2o,1.149055
t1_c1_3r64s1o,1.281528
t1_c1_3r7s1o,1.292826
t1_c1_3r8s1o,1.546078
t1_c1_3r8s2o,1.558897
t1_c1_4r16s1o,1.567725
t1_c1_4r16s2o,1.117116
t1_c1_4r16s3o,0.995901
t1_c1_4r2s1o,0.988072
t1_c1_4r2s2o,1.299086
t1_c1_4r2s2omixed,1.502877
t1_c1_4r2s3o,1.559610
t1_c1_4r31s2o,1.738934
t1_c1_4r3s1o,1.291116
t1_c1_4r3s2o,1.293594
t1_c1_4r4s1o,0.994728
t1_c1_4r4s2o,2.090331
t1_c1_4r4s3o,1.605634
t1_c1_4r7s1o,1.453987
t1_c1_4r7s2o,1.296820
t1_c1_4r8s1o,1.309980
t1_c1_4r8s1operm,1.269328
t1_c1_4r8s1operm2,1.565959
t1_c1_4r8s2o,1.964809
t1_c1_4r8s3o,0.983894
t1_c1_5r15s2o,1.294466
t1_c1_5r16s1o,1.003374
t1_c1_5r16s2o,1.624100
t1_c1_5r2s1o,1.556470
t1_c1_5r2s2o,1.913679
t1_c1_5r2s3o,0.988396
t1_c1_5r2s4o,0.996361
t1_c1_5r3s1o,1.005136
t1_c1_5r3s2o,1.024887
t1_c1_5r3s3o,1.570014
t1_c1_5r3s4o,1.562708
t1_c1_5r4s1o,1.322821
t1_c1_5r4s1ostride,0.991782
t1_c1_5r4s2o,1.307404
t1_c1_5r4s2operm,1.005016
t1_c1_5r4s3o,1.311532
t1_c1_5r4s4o,1.561795
t1_c1_5r7s2o,1.917198
t1_c1_5r8s1o,0.990973
t1_c1_5r8s2o,1.302450
t1_c1_5r8s3o,1.003878
t1_c1_5r8s4o,1.199573
t1_c1_6r15s3o,2.035231
t1_c1_6r16s5o,1.868091
t1_c1_6r2s1o,0.995577
t1_c1_6r2s2o,0.999056
t1_c1_6r2s3o,1.006761
t1_c1_6r2s5o,1.564840
t1_c1_6r3s1o,1.559999
t1_c1_6r3s2o,1.568809
t1_c1_6r3s3o,1.098898
t1_c1_6r4s1o,0.993263
t1_c1_6r4s2o,0.999024
t1_c1_6r4s2ostride,1.004726
t1_c1_6r4s3o,1.395762
t1_c1_6r4s5o,2.105818
t1_c1_6r5s1o,1.348087
t1_c1_6r5s2o,0.997241
t1_c1_6r5s3o,1.007213
t1_c1_6r7s3o,1.317064
t1_c1_6r8s2o,1.304529
t1_c1_6r8s3o,1.565148
t1_c1_6r8s5o,1.950091
t1_c1_7r4s6o,1.292979
t1_c1_8r2s7o,1.263661
t1_c1_8r4s7o,1.309897
t1_c1_8r8s7o,1.998368
t1_c1_rect0,2.031205
t1_c1_rect1,2.019472
t2_c1_13r3s12o,1.852158
t2_c1_2r128s1o,1.295905
t2_c1_2r16s1o,1.091745
t2_c1_2r256s1o,1.136624
t2_c1_2r2s1o,1.115076
t2_c1_2r32s1o,1.822692
t2_c1_2r4s1o,1.771293
t2_c1_2r64s1o,1.320656
t2_c1_2r8s1o,1.143587
t2_c1_3r127s1o,1.173157
t2_c1_3r16s1o,1.170456
t2_c1_3r16s2o,1.505958
t2_c1_3r2s1o,1.498446
t2_c1_3r2s1orect,1.333096
t2_c1_3r2s2o,0.923658
t2_c1_3r32s1o,1.156953
t2_c1_3r32s2o,0.978944
t2_c1_3r4s1o,1.375495
t2_c1_3r4s2o,1.505208
t2_c1_3r64s1o,1.803441
t2_c1_3r7s1o,1.232231
t2_c1_3r8s1o,1.164991
t2_c1_3r8s2o,0.978894
t2_c1_4r16s1o,0.967941
t2_c1_4r16s2o,1.470325
t2_c1_4r16s3o,1.509201
t2_c1_4r2s1o,1.514438
t2_c1_4r2s2o,1.776703
t2_c1_4r2s2omixed,1.489871
t2_c1_4r2s3o,1.158184
t2_c1_4r31s2o,1.104232
t2_c1_4r3s1o,1.150271
t2_c1_4r3s2o,1.155641
t2_c1_4r4s1o,1.424073
t2_c1_4r4s2o,1.789119
t2_c1_4r4s3o,1.348031
t2_c1_4r7s1o,1.109473
t2_c1_4r7s2o,1.137523
t2_c1_4r8s1o,1.164925
t2_c1_4r8s1operm,1.252366
t2_c1_4r8s1operm2,1.500555
t2_c1_4r8s2o,1.782148
t2_c1_4r8s3o,0.983010
t2_c1_5r15s2o,1.129625
t2_c1_5r16s1o,0.960944
t2_c1_5r16s2o,1.147261
t2_c1_5r2s1o,1.553912
t2_c1_5r2s2o,1.844456
t2_c1_5r2s3o,1.224538
t2_c1_5r2s4o,0.967028
t2_c1_5r3s1o,0.970003
t2_c1_5r3s2o,0.979419
t2_c1_5r3s3o,1.096898
t2_c1_5r3s4o,1.507156
t2_c1_5r4s1o,1.505556
t2_c1_5r4s1ostride,1.237806
t2_c1_5r4s2o,1.126820
t2_c1_5r4s2operm,0.962883
t2_c1_5r4s3o,0.977987
t2_c1_5r4s4o,1.186242
t2_c1_5r7s2o,1.817021
t2_c1_5r8s1o,1.532886
t2_c1_5r8s2o,1.238668
t2_c1_5r8s3o,0.930983
t2_c1_5r8s4o,0.968320
t2_c1_6r15s3o,1.130729
t2_c1_6r16s5o,1.826176
t2_c1_6r2s1o,1.506577
t2_c1_6r2s2o,1.284967
t2_c1_6r2s3o,0.958174
t2_c1_6r2s5o,1.180469
t2_c1_6r3s1o,0.943823
t2_c1_6r3s2o,1.109744
t2_c1_6r3s3o,1.506192
t2_c1_6r4s1o,1.520656
t2_c1_6r4s2o,1.201733
t2_c1_6r4s2ostride,0.960314
t2_c1_6r4s3o,0.923057
t2_c1_6r4s5o,1.191394
t2_c1_6r5s1o,1.190855
t2_c1_6r5s2o,1.533171
t2_c1_6r5s3o,1.490138
t2_c1_6r7s3o,1.339655
t2_c1_6r8s2o,0.935288
t2_c1_6r8s3o,0.957044
t2_c1_6r8s5o,1.155277
t2_c1_7r4s6o,1.687993
t2_c1_8r2s7o,1.845914
t2_c1_8r4s7o,1.488972
t2_c1_8r8s7o,1.192177
t2_c1_rect0,1.168441
t2_c1_rect1,1.187391
t2_c2_13r3s12o,2.005349
t2_c2_2r128s1o,1.870474
t2_c2_2r16s1o,1.254995
t2_c2_2r256s1o,1.128519
t2_c2_2r2s1o,1.176243
t2_c2_2r32s1o,1.310026
t2_c2_2r4s1o,1.821735
t2_c2_2r64s1o,1.819073
t2_c2_2r8s1o,1.180256
t2_c2_3r127s1o,1.157653
t2_c2_3r16s1o,1.168293
t2_c2_3r16s2o,1.251630
t2_c2_3r2s1o,1.634050
t2_c2_3r2s1orect,1.630740
t2_c2_3r2s2o,1.150795
t2_c2_3r32s1o,1.198405
t2_c2_3r32s2o,1.062211
t2_c2_3r4s1o,1.287746
t2_c2_3r4s2o,1.630923
t2_c2_3r64s1o,1.852282
t2_c2_3r7s1o,1.904732
t2_c2_3r8s1o,1.860225
t2_c2_3r8s2o,1.341105
t2_c2_4r16s1o,1.046721
t2_c2_4r16s2o,1.045314
t2_c2_4r16s3o,1.058641
t2_c2_4r2s1o,1.391602
t2_c2_4r2s2o,1.902674
t2_c2_4r2s2omixed,1.500925
t2_c2_4r2s3o,1.045762
t2_c2_4r31s2o,1.202824
t2_c2_4r3s1o,1.224607
t2_c2_4r3s2o,1.589209
t2_c2_4r4s1o,1.683094
t2_c2_4r4s2o,1.665929
t2_c2_4r4s3o,1.049430
t2_c2_4r7s1o,1.215586
t2_c2_4r7s2o,1.208113
t2_c2_4r8s1o,1.730884
t2_c2_4r8s1operm,1.644459
t2_c2_4r8s1operm2,1.468907
t2_c2_4r8s2o,1.191004
t2_c2_4r8s3o,1.070132
t2_c2_5r15s2o,1.240464
t2_c2_5r16s1o,1.505530
t2_c2_5r16s2o,1.892743
t2_c2_5r2s1o,1.435169
t2_c2_5r2s2o,1.222203
t2_c2_5r2s3o,1.061322
t2_c2_5r2s4o,1.059139
t2_c2_5r3s1o,1.418433
t2_c2_5r3s2o,1.684730
t2_c2_5r3s3o,1.574617
t2_c2_5r3s4o,1.056264
t2_c2_5r4s1o,1.050006
t2_c2_5r4s1ostride,1.057094
t2_c2_5r4s2o,1.421370
t2_c2_5r4s2operm,1.630915
t2_c2_5r4s3o,1.643001
t2_c2_5r4s4o,1.163313
t2_c2_5r7s2o,1.233656
t2_c2_5r8s1o,1.056262
t2_c2_5r8s2o,1.359498
t2_c2_5r8s3o,1.635332
t2_c2_5r8s4o,1.638504
t2_c2_6r15s3o,1.386070
t2_c2_6r16s5o,1.229894
t2_c2_6r2s1o,1.066792
t2_c2_6r2s2o,1.102716
t2_c2_6r2s3o,1.619395
t2_c2_6r2s5o,1.905148
t2_c2_6r3s1o,1.230284
t2_c2_6r3s2o,1.055600
t2_c2_6r3s3o,1.050852
t2_c2_6r4s1o,1.062588
t2_c2_6r4s2o,1.544160
t2_c2_6r4s2ostride,1.634138
t2_c2_6r4s3o,1.533519
t2_c2_6r4s5o,1.224847
t2_c2_6r5s1o,1.055629
t2_c2_6r5s2o,1.060181
t2_c2_6r5s3o,1.382493
t2_c2_6r7s3o,1.878768
t2_c2_6r8s2o,1.534574
t2_c2_6r8s3o,1.278611
t2_c2_6r8s5o,1.228594
t2_c2_7r4s6o,1.246647
t2_c2_8r2s7o,1.829335
t2_c2_8r4s7o,2.003689
t2_c2_8r8s7o,1.434703
t2_c2_rect0,1.199896
t2_c2_rect1,1.217480
t3_c1_13r3s12o,1.523742
t3_c1_2r128s1o,1.901087
t3_c1_2r16s1o,1.728750
t3_c1_2r256s1o,1.209647
t3_c1_2r2s1o,1.202475
t3_c1_2r32s1o,1.215265
t3_c1_2r4s1o,1.697138
t3_c1_2r64s1o,1.841348
t3_c1_2r8s1o,1.533812
t3_c1_3r127s1o,1.269195
t3_c1_3r16s1o,1.267493
t3_c1_3r16s2o,1.169617
t3_c1_3r2s1o,1.788114
t3_c1_3r2s1orect,1.780627
t3_c1_3r2s2o,1.253345
t3_c1_3r32s1o,1.263224
t3_c1_3r32s2o,1.130510
t3_c1_3r4s1o,1.421798
t3_c1_3r4s2o,1.775293
t3_c1_3r64s1o,1.924907
t3_c1_3r7s1o,1.242416
t3_c1_3r8s1o,1.243565
t3_c1_3r8s2o,1.120852
t3_c1_4r16s1o,1.503208
t3_c1_4r16s2o,1.692372
t3_c1_4r16s3o,1.812869
t3_c1_4r2s1o,1.798930
t3_c1_4r2s2o,1.837935
t3_c1_4r2s2omixed,1.175753
t3_c1_4r2s3o,1.131658
t3_c1_4r31s2o,1.229335
t3_c1_4r3s1o,1.517965
t3_c1_4r3s2o,1.856483
t3_c1_4r4s1o,1.703511
t3_c1_4r4s2o,1.186792
t3_c1_4r4s3o,1.122342
t3_c1_4r7s1o,1.265047
t3_c1_4r7s2o,1.661301
t3_c1_4r8s1o,1.961563
t3_c1_4r8s1operm,1.754994
t3_c1_4r8s1operm2,1.753434
t3_c1_4r8s2o,1.764275
t3_c1_4r8s3o,1.114492
t3_c1_5r15s2o,1.272814
t3_c1_5r16s1o,1.147408
t3_c1_5r16s2o,1.760420
