name,build_time
t1_c1_13r3s12o,1.591995
t1_c1_2r128s1o,1.076297
t1_c1_2r16s1o,1.003100
t1_c1_2r256s1o,0.956449
t1_c1_2r2s1o,0.990181
t1_c1_2r32s1o,1.366213
t1_c1_2r4s1o,1.589231
t1_c1_2r64s1o,1.571530
t1_c1_2r8s1o,0.982521
t1_c1_3r127s1o,1.057862
t1_c1_3r16s1o,0.996469
t1_c1_3r16s2o,0.588544
t1_c1_3r2s1o,0.659923
t1_c1_3r2s1orect,0.965465
t1_c1_3r2s2o,0.973774
t1_c1_3r32s1o,1.604018
t1_c1_3r32s2o,0.766818
t1_c1_3r4s1o,0.975912
t1_c1_3r4s2o,0.598005
t1_c1_3r64s1o,1.066217
t1_c1_3r7s1o,0.997820
t1_c1_3r8s1o,1.514629
t1_c1_3r8s2o,0.966228
t1_c1_4r16s1o,0.969562
t1_c1_4r16s2o,0.932877
t1_c1_4r16s3o,0.595124
t1_c1_4r2s1o,0.608195
t1_c1_4r2s2o,1.006698
t1_c1_4r2s2omixed,0.637868
t1_c1_4r2s3o,0.652959
t1_c1_4r31s2o,1.331656
t1_c1_4r3s1o,1.601309
t1_c1_4r3s2o,1.603516
t1_c1_4r4s1o,0.647546
t1_c1_4r4s2o,0.986409
t1_c1_4r4s3o,0.601860
t1_c1_4r7s1o,1.012553
t1_c1_4r7s2o,0.992667
t1_c1_4r8s1o,1.575093
t1_c1_4r8s1operm,0.957674
t1_c1_4r8s1operm2,0.969417
t1_c1_4r8s2o,1.247677
t1_c1_4r8s3o,0.639509
t1_c1_5r15s2o,1.003482
t1_c1_5r16s1o,0.637607
t1_c1_5r16s2o,0.997605
t1_c1_5r2s1o,0.769442
t1_c1_5r2s2o,1.605302
t1_c1_5r2s3o,0.969247
t1_c1_5r2s4o,0.969030
t1_c1_5r3s1o,0.654148
t1_c1_5r3s2o,0.635701
t1_c1_5r3s3o,0.650133
t1_c1_5r3s4o,0.597723
t1_c1_5r4s1o,0.605035
t1_c1_5r4s1ostride,0.752788
t1_c1_5r4s2o,1.260136
t1_c1_5r4s2operm,0.638715
t1_c1_5r4s3o,0.610653
t1_c1_5r4s4o,0.617278
t1_c1_5r7s2o,1.040397
t1_c1_5r8s1o,0.765956
t1_c1_5r8s2o,1.075454
t1_c1_5r8s3o,0.753231
t1_c1_5r8s4o,0.759706
t1_c1_6r15s3o,1.032732
t1_c1_6r16s5o,1.552911
t1_c1_6r2s1o,0.967410
t1_c1_6r2s2o,0.968941
t1_c1_6r2s3o,0.898399
t1_c1_6r2s5o,1.080902
t1_c1_6r3s1o,0.608199
t1_c1_6r3s2o,0.647169
t1_c1_6r3s3o,0.763612
t1_c1_6r4s1o,0.760548
t1_c1_6r4s2o,0.760097
t1_c1_6r4s2ostride,0.611251
t1_c1_6r4s3o,0.643020
t1_c1_6r4s5o,1.266515
t1_c1_6r5s1o,0.637249
t1_c1_6r5s2o,0.780584
t1_c1_6r5s3o,0.955548
t1_c1_6r7s3o,1.605040
t1_c1_6r8s2o,0.969236
t1_c1_6r8s3o,0.715151
t1_c1_6r8s5o,1.023155
t1_c1_7r4s6o,1.080501
t1_c1_8r2s7o,1.268981
t1_c1_8r4s7o,1.451711
t1_c1_8r8s7o,1.606203
t1_c1_rect0,1.528041
t1_c1_rect1,1.078002
t2_c1_13r3s12o,0.954310
t2_c1_2r128s1o,0.764274
t2_c1_2r16s1o,0.828139
t2_c1_2r256s1o,0.989533
t2_c1_2r2s1o,1.215379
t2_c1_2r32s1o,1.389357
t2_c1_2r4s1o,1.153809
t2_c1_2r64s1o,0.944693
t2_c1_2r8s1o,0.967438
t2_c1_3r127s1o,1.013003
t2_c1_3r16s1o,0.851245
t2_c1_3r16s2o,0.868470
t2_c1_3r2s1o,0.936625
t2_c1_3r2s1orect,0.941989
t2_c1_3r2s2o,0.937126
t2_c1_3r32s1o,1.030623
t2_c1_3r32s2o,0.614738
t2_c1_3r4s1o,0.862876
t2_c1_3r4s2o,0.582398
t2_c1_3r64s1o,1.004893
t2_c1_3r7s1o,0.864938
t2_c1_3r8s1o,1.265384
t2_c1_3r8s2o,0.936667
t2_c1_4r16s1o,0.929100
t2_c1_4r16s2o,0.893415
t2_c1_4r16s3o,0.594538
t2_c1_4r2s1o,0.583587
t2_c1_4r2s2o,0.828060
t2_c1_4r2s2omixed,0.616402
t2_c1_4r2s3o,0.585809
t2_c1_4r31s2o,0.817070
t2_c1_4r3s1o,1.256641
t2_c1_4r3s2o,1.290853
t2_c1_4r4s1o,0.940895
t2_c1_4r4s2o,1.068332
t2_c1_4r4s3o,0.712880
t2_c1_4r7s1o,0.817142
t2_c1_4r7s2o,0.817119
t2_c1_4r8s1o,0.851668
t2_c1_4r8s1operm,0.575983
t2_c1_4r8s1operm2,0.932664
t2_c1_4r8s2o,1.288594
t2_c1_4r8s3o,0.928854
t2_c1_5r15s2o,1.217977
t2_c1_5r16s1o,0.616540
t2_c1_5r16s2o,0.843175
t2_c1_5r2s1o,0.624185
t2_c1_5r2s2o,0.921851
t2_c1_5r2s3o,0.636195
t2_c1_5r2s4o,0.743539
t2_c1_5r3s1o,0.938865
t2_c1_5r3s2o,0.930767
t2_c1_5r3s3o,0.941667
t2_c1_5r3s4o,0.924672
t2_c1_5r4s1o,0.577225
t2_c1_5r4s1ostride,0.591666
t2_c1_5r4s2o,0.903920
t2_c1_5r4s2operm,0.577791
t2_c1_5r4s3o,0.598748
t2_c1_5r4s4o,0.625868
t2_c1_5r7s2o,1.190301
t2_c1_5r8s1o,0.934961
t2_c1_5r8s2o,1.347353
t2_c1_5r8s3o,0.933791
t2_c1_5r8s4o,0.616086
t2_c1_6r15s3o,0.912845
t2_c1_6r16s5o,0.937680
t2_c1_6r2s1o,0.582816
t2_c1_6r2s2o,0.590292
t2_c1_6r2s3o,0.623576
t2_c1_6r2s5o,1.375329
t2_c1_6r3s1o,0.928952
t2_c1_6r3s2o,0.921133
t2_c1_6r3s3o,0.872049
t2_c1_6r4s1o,0.619826
t2_c1_6r4s2o,0.582250
t2_c1_6r4s2ostride,0.622673
t2_c1_6r4s3o,0.580406
t2_c1_6r4s5o,0.931704
t2_c1_6r5s1o,0.578394
t2_c1_6r5s2o,0.863514
t2_c1_6r5s3o,0.928793
t2_c1_6r7s3o,1.337454
t2_c1_6r8s2o,0.927215
t2_c1_6r8s3o,0.696502
t2_c1_6r8s5o,0.860203
t2_c1_7r4s6o,0.890230
t2_c1_8r2s7o,0.914398
t2_c1_8r4s7o,0.927475
t2_c1_8r8s7o,1.309639
t2_c1_rect0,1.270497
t2_c1_rect1,1.265476
t2_c2_13r3s12o,1.112809
t2_c2_2r128s1o,0.757354
t2_c2_2r16s1o,0.823627
t2_c2_2r256s1o,0.755728
t2_c2_2r2s1o,0.775340
t2_c2_2r32s1o,0.960900
t2_c2_2r4s1o,0.754093
t2_c2_2r64s1o,0.772142
t2_c2_2r8s1o,0.776004
t2_c2_3r127s1o,0.875844
t2_c2_3r16s1o,1.132968
t2_c2_3r16s2o,1.017202
t2_c2_3r2s1o,1.021666
t2_c2_3r2s1orect,1.008888
t2_c2_3r2s2o,0.769760
t2_c2_3r32s1o,0.794632
t2_c2_3r32s2o,0.636679
t2_c2_3r4s1o,0.865209
t2_c2_3r4s2o,0.642358
t2_c2_3r64s1o,1.019662
t2_c2_3r7s1o,0.793647
t2_c2_3r8s1o,0.808360
t2_c2_3r8s2o,0.637424
t2_c2_4r16s1o,0.646031
t2_c2_4r16s2o,0.796139
t2_c2_4r16s3o,0.949595
t2_c2_4r2s1o,1.005635
t2_c2_4r2s2o,1.267671
t2_c2_4r2s2omixed,1.005832
t2_c2_4r2s3o,0.658973
t2_c2_4r31s2o,0.865737
t2_c2_4r3s1o,0.915626
t2_c2_4r3s2o,0.816961
t2_c2_4r4s1o,0.691386
t2_c2_4r4s2o,1.118145
t2_c2_4r4s3o,0.998962
t2_c2_4r7s1o,1.333132
t2_c2_4r7s2o,1.161087
t2_c2_4r8s1o,0.829761
t2_c2_4r8s1operm,0.638567
t2_c2_4r8s1operm2,0.637479
t2_c2_4r8s2o,0.815738
t2_c2_4r8s3o,0.634523
t2_c2_5r15s2o,1.131992
t2_c2_5r16s1o,1.021011
