name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_2r2s1o_T1_C1",2866129,246.944,246.796,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,247.495,247.322,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,248.683,248.484,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,247.927,247.684,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,297.97,297.721,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,322.257,322.039,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,323.172,322.929,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,322.408,322.174,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,307.151,306.857,ns,,,,,
"BM_tc_2r2s1o_T1_C1",2866129,246.809,246.66,ns,,,,,
"BM_tc_2r2s1o_T1_C1_mean",10,281.082,280.867,ns,,,,,
"BM_tc_2r2s1o_T1_C1_median",10,273.326,273.103,ns,,,,,
"BM_tc_2r2s1o_T1_C1_stddev",10,36.1426,36.1112,ns,,,,,
"BM_tc_2r2s1o_T1_C1_cv",10,0.128584,0.128571,,,,,,
"BM_tc_2r4s1o_T1_C1",785447,893.582,892.97,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,892.987,892.057,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,892.131,891.508,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,894.534,893.873,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,1009.11,1008.06,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,1168.78,1168.03,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,1169.99,1168.87,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,1169.46,1168.48,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,1169.88,1168.75,ns,,,,,
"BM_tc_2r4s1o_T1_C1",785447,907.976,907.233,ns,,,,,
"BM_tc_2r4s1o_T1_C1_mean",10,1016.84,1015.98,ns,,,,,
"BM_tc_2r4s1o_T1_C1_median",10,958.543,957.647,ns,,,,,
