name,build_time
t1_c1_2r16s1o,1.477570
t1_c1_2r2s1o,1.065024
t1_c1_2r32s1o,1.094948
t1_c1_2r4s1o,1.083454
t1_c1_2r64s1o,1.111198
t1_c1_2r8s1o,1.112513
t1_c1_3r16s1o,1.098748
t1_c1_3r16s2o,1.086243
t1_c1_3r2s1o,1.079693
t1_c1_3r2s1orect,1.114682
t1_c1_3r2s2o,1.080908
t1_c1_3r32s1o,1.231339
t1_c1_3r32s2o,1.244938
t1_c1_3r4s1o,1.090276
t1_c1_3r4s2o,1.078264
t1_c1_3r8s1o,1.084653
t1_c1_3r8s2o,1.067617
t1_c1_4r16s1o,1.406469
t1_c1_4r16s2o,1.409808
t1_c1_4r16s3o,1.441054
t1_c1_4r2s1o,1.086134
t1_c1_4r2s2o,1.086409
t1_c1_4r2s2omixed,1.084740
t1_c1_4r2s3o,1.085249
t1_c1_4r4s1o,1.095870
t1_c1_4r4s2o,1.086166
t1_c1_4r4s3o,1.087041
t1_c1_4r8s1o,1.122553
t1_c1_4r8s1operm,1.094980
t1_c1_4r8s1operm2,1.114003
t1_c1_4r8s2o,1.086587
t1_c1_4r8s3o,1.109678
t1_c1_5r2s1o,1.085300
t1_c1_5r2s2o,1.084588
t1_c1_5r2s3o,1.085037
t1_c1_5r2s4o,1.090355
t1_c1_5r3s1o,1.091088
t1_c1_5r3s2o,1.088002
t1_c1_5r3s3o,1.106171
t1_c1_5r3s4o,1.078530
t1_c1_5r4s1o,1.079224
t1_c1_5r4s1ostride,1.083130
t1_c1_5r4s2o,1.111496
t1_c1_5r4s2operm,1.074117
t1_c1_5r4s3o,1.092347
t1_c1_5r4s4o,1.092689
t1_c1_5r8s1o,1.243810
t1_c1_5r8s2o,1.250535
t1_c1_5r8s3o,1.251655
t1_c1_5r8s4o,1.251753
t1_c1_6r2s1o,1.090548
t1_c1_6r2s2o,1.062719
t1_c1_6r2s3o,1.090986
t1_c1_6r3s1o,1.083140
t1_c1_6r3s2o,1.095310
t1_c1_6r3s3o,1.094919
t1_c1_6r4s1o,1.107452
t1_c1_6r4s2o,1.096036
t1_c1_6r4s2ostride,1.098629
t1_c1_6r4s3o,1.094645
