name,build_time
t1_c1_13r3s12o,1.621469
t1_c1_13r3s12o,1.621503
t1_c1_13r3s12o,1.226893
t1_c1_2r128s1o,1.104210
t1_c1_2r128s1o,1.376013
t1_c1_2r128s1o,1.204989
t1_c1_2r16s1o,1.587920
t1_c1_2r16s1o,1.569227
t1_c1_2r16s1o,1.323799
t1_c1_2r256s1o,1.023335
t1_c1_2r256s1o,1.098975
t1_c1_2r256s1o,1.162905
t1_c1_2r2s1o,1.436866
t1_c1_2r2s1o,1.588369
t1_c1_2r2s1o,1.548521
t1_c1_2r32s1o,1.021055
t1_c1_2r32s1o,1.154930
t1_c1_2r32s1o,1.108068
t1_c1_2r4s1o,1.312751
t1_c1_2r4s1o,1.591652
t1_c1_2r4s1o,1.591318
t1_c1_2r64s1o,1.157143
t1_c1_2r64s1o,1.030014
t1_c1_2r64s1o,1.160544
t1_c1_2r8s1o,1.190307
t1_c1_2r8s1o,1.577893
t1_c1_2r8s1o,1.608434
t1_c1_3r127s1o,1.424700
t1_c1_3r127s1o,1.181368
t1_c1_3r127s1o,1.108577
t1_c1_3r16s1o,1.178559
t1_c1_3r16s1o,1.477785
t1_c1_3r16s1o,1.585905
t1_c1_3r16s2o,0.971021
t1_c1_3r16s2o,0.780245
t1_c1_3r16s2o,0.824270
t1_c1_3r2s1o,0.695366
t1_c1_3r2s1o,0.831614
t1_c1_3r2s1o,0.840486
t1_c1_3r2s1orect,0.884226
t1_c1_3r2s1orect,0.974239
t1_c1_3r2s1orect,0.956964
t1_c1_3r2s2o,0.953844
t1_c1_3r2s2o,0.968862
t1_c1_3r2s2o,0.967385
t1_c1_3r32s1o,1.588776
t1_c1_3r32s1o,1.574706
t1_c1_3r32s1o,1.171104
t1_c1_3r32s2o,0.702298
t1_c1_3r32s2o,0.712619
t1_c1_3r32s2o,0.814182
t1_c1_3r4s1o,1.329472
t1_c1_3r4s1o,1.601680
t1_c1_3r4s1o,1.601546
t1_c1_3r4s2o,0.784868
t1_c1_3r4s2o,0.711400
t1_c1_3r4s2o,0.712449
t1_c1_3r64s1o,1.211169
t1_c1_3r64s1o,1.034329
t1_c1_3r64s1o,1.587732
t1_c1_3r7s1o,1.588925
t1_c1_3r7s1o,1.508047
t1_c1_3r7s1o,1.103182
t1_c1_3r8s1o,1.374953
t1_c1_3r8s1o,1.423272
t1_c1_3r8s1o,1.583294
t1_c1_3r8s2o,0.956770
t1_c1_3r8s2o,0.969907
t1_c1_3r8s2o,0.874039
t1_c1_4r16s1o,0.700537
t1_c1_4r16s1o,0.616119
t1_c1_4r16s1o,0.827895
t1_c1_4r16s2o,0.706302
t1_c1_4r16s2o,0.818774
t1_c1_4r16s2o,0.949618
t1_c1_4r16s3o,0.956690
t1_c1_4r16s3o,0.958293
t1_c1_4r16s3o,0.951152
t1_c1_4r2s1o,1.163116
t1_c1_4r2s1o,1.176618
t1_c1_4r2s1o,1.393460
t1_c1_4r2s2o,1.140311
t1_c1_4r2s2o,1.599455
t1_c1_4r2s2o,1.587267
t1_c1_4r2s2omixed,0.842884
t1_c1_4r2s2omixed,0.635719
t1_c1_4r2s2omixed,0.661258
t1_c1_4r2s3o,0.619980
t1_c1_4r2s3o,0.669220
t1_c1_4r2s3o,0.829392
t1_c1_4r31s2o,1.326606
t1_c1_4r31s2o,1.589023
t1_c1_4r31s2o,1.604939
t1_c1_4r3s1o,1.080382
t1_c1_4r3s1o,1.038094
t1_c1_4r3s1o,1.120438
t1_c1_4r3s2o,1.234867
t1_c1_4r3s2o,1.606178
t1_c1_4r3s2o,1.606444
t1_c1_4r4s1o,0.910651
t1_c1_4r4s1o,0.662757
t1_c1_4r4s1o,0.679410
t1_c1_4r4s2o,1.389057
t1_c1_4r4s2o,1.198179
t1_c1_4r4s2o,1.709554
t1_c1_4r4s3o,0.969420
t1_c1_4r4s3o,0.972815
t1_c1_4r4s3o,0.833057
t1_c1_4r7s1o,1.190777
t1_c1_4r7s1o,1.126538
t1_c1_4r7s1o,1.212684
t1_c1_4r7s2o,1.423676
t1_c1_4r7s2o,1.578504
t1_c1_4r7s2o,1.557213
t1_c1_4r8s1o,1.032839
t1_c1_4r8s1o,1.211036
t1_c1_4r8s1o,1.228235
t1_c1_4r8s1operm,0.752251
t1_c1_4r8s1operm,0.958143
t1_c1_4r8s1operm,0.979437
t1_c1_4r8s1operm2,0.976552
t1_c1_4r8s1operm2,0.975211
t1_c1_4r8s1operm2,0.959799
t1_c1_4r8s2o,1.576574
t1_c1_4r8s2o,1.577879
t1_c1_4r8s2o,1.102829
t1_c1_4r8s3o,0.671027
t1_c1_4r8s3o,0.725723
t1_c1_4r8s3o,0.725507
t1_c1_5r15s2o,1.108117
t1_c1_5r15s2o,1.601324
t1_c1_5r15s2o,1.605293
t1_c1_5r16s1o,0.951223
t1_c1_5r16s1o,0.615806
t1_c1_5r16s1o,0.650543
t1_c1_5r16s2o,1.051316
t1_c1_5r16s2o,1.066485
t1_c1_5r16s2o,1.207688
t1_c1_5r2s1o,1.041546
t1_c1_5r2s1o,0.950504
t1_c1_5r2s1o,0.958534
t1_c1_5r2s2o,1.304482
t1_c1_5r2s2o,1.107365
t1_c1_5r2s2o,1.222933
t1_c1_5r2s3o,0.856365
t1_c1_5r2s3o,0.838591
t1_c1_5r2s3o,0.968320
t1_c1_5r2s4o,0.968548
t1_c1_5r2s4o,0.974335
t1_c1_5r2s4o,0.961466
t1_c1_5r3s1o,0.974605
t1_c1_5r3s1o,1.000181
t1_c1_5r3s1o,0.967123
t1_c1_5r3s2o,0.959306
t1_c1_5r3s2o,0.679419
t1_c1_5r3s2o,0.721075
t1_c1_5r3s3o,0.623661
t1_c1_5r3s3o,0.655065
t1_c1_5r3s3o,0.663678
t1_c1_5r3s4o,0.725833
t1_c1_5r3s4o,0.912145
t1_c1_5r3s4o,0.969269
t1_c1_5r4s1o,0.950842
t1_c1_5r4s1o,0.949898
t1_c1_5r4s1o,0.840789
t1_c1_5r4s1ostride,0.676378
t1_c1_5r4s1ostride,0.828201
